"","Race","total","proportion","percentage"
"1","American Indian or Alaskan Native",69,0.000453261512185509,0.0453261512185509
"2","Asian or Pacific Islander",1301,0.00854627865729488,0.854627865729488
"3","Black",89219,0.586080273270709,58.6080273270709
"4","Hispanic",19891,0.130664126650463,13.0664126650463
"5","Middle Eastern or East Indian",462,0.00303488142941602,0.303488142941602
"6","White",34641,0.227556986139394,22.7556986139394
"7",NA,6647,0.0436641923405373,4.36641923405373
