"","Sex","total","proportion","percentage"
"1","FEMALE",17729,0.116461932601984,11.6461932601984
"2","MALE",134264,0.88198121263877,88.198121263877
"3","UNKNOWN",237,0.00155685475924588,0.155685475924588
